"Kohteen tila (pakollinen);";"Nykyisen kohteen id (pakollinen);";"VR Track -tunniste;";"Omaisuuslaji (pakollinen);";"Viimeksi muokattu;";"Ehdotettu ajankohta (pakollinen);";"Isännöintialue;";"Käyttökeskusalue;";"Kunnossapitoalue;";"Asetettu kunnossapitoalue;";"Tilirataosa;";"E (ETRS-TM35FIN);";"N (ETRS-TM35FIN);";"E (WGS84);";"N (WGS84);";"E (Generoitu, ETRS-TM35FIN);";"N (Generoitu, ETRS-TM35FIN);";"longitude;";"latitude;";"Sijainnin tarkkuus;";"Ratanumero (pakollinen);";"Sijaintiraide (pakollinen);";"Ratakilometrisijainti (pakollinen);";"Tarkka Ratakilometrisijainti;";"Syöttöaseman tunnus (pakollinen);";"Tyyppi (pakollinen);";"name;";"Omistaja (pakollinen);";"Saneerattu (pakollinen);";"Käyttöönottovuosi;";"Arvioitu käyttöönottopäivä;";"Arvioitu käytöstäpoistopäivä;";"Saneerausvuosi;";"Muutoksen syy (pakollinen);";"Lisätiedot;"
'IN USE;'1.2.246.578.3.184.690529;;'feeder_station;'2024-02-06T10:43Z;;'Etelä-Suomi;'Helsinki;'1;;'1104 (Pasila)–Kirkkonummi;;;;;'366200.67417593335;'6674516.663038297;'24.58732419654881;'60.18551536002613;;'001;'001 ER LPV-KKN;'0025+0100;'0025+0100;'MANKKI SA;'1x25kV;'MANKKI SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.690544;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Helsinki;'2;;'1201 (Kirkkonummi)–Karjaa–(Turku);;;;;'341974.3331592962;'6669405.097262513;'24.15502281647213;'60.13101229935515;;'001;'001 KKN-KUT;'0055+0514;'0055+0514;'KÄK SA;'1x25kV;'KÄKELÄ SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.690547;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Helsinki;'2;;'1201 (Kirkkonummi)–Karjaa–(Turku);;;;;'311552.60074838274;'6663766.477011022;'23.61355757344094;'60.06758616578563;;'001;'001 KKN-KUT;'0090+0052;'0090+0052;'KÖS SA;'1x25kV;'KÖPSKOG SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.690548;;'feeder_station;'2024-02-06T10:41Z;;'Etelä-Suomi;'Helsinki;'2;;'1201 (Kirkkonummi)–Karjaa–(Turku);;;;;'287235.35527437716;'6685743.631114423;'23.15468364708717;'60.25258301788169;;'001;'001 KKN-KUT;'0126+0700;'0126+0700;'LVK SA;'1x25kV;'LAVIAMÄKI SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.690550;;'feeder_station;'2024-02-06T10:41Z;;'Etelä-Suomi;'Helsinki;'2;;'1201 (Kirkkonummi)–Karjaa–(Turku);;;;;'269339.750990635;'6706009.619155099;'22.808972806676007;'60.424316225010685;;'001;'001 KKN-KUT;'0163+0628;'0163+0628;'PTP SA;'1x25kV;'PITKÄPORRAS SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.690551;;'feeder_station;'2021-06-10T04:57Z;;'Etelä-Suomi;'Helsinki;'2;;'1207 Turku ratapiha;;;;;'240330.9581318355;'6712082.127676092;'22.275969401096535;'60.46106573064241;;'001;'001 KKN-KUT;'0198+0180;'0198+0180;;'1x25kV;'TIIRANTIE SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.362503;;'feeder_station;'2024-02-06T08:12Z;;'Länsi-Suomi;'Tampere;'4;;'1401 (Lielahti)–Kokemäki–(Pori);;;;;'291900.62805162976;'6820557.668489465;'23.0938609457638;'61.46266082977047;;'002;'002;'0227+0380;'0227+0380;'JRÄ SA;'1x25kV;'Jyrä SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.362504;;'feeder_station;'2024-02-06T08:12Z;;'Länsi-Suomi;'Tampere;'4;;'1401 (Lielahti)–Kokemäki–(Pori);;;;;'265679.47599249124;'6803920.9180711;'22.624186112514195;'61.2987739479128;;'002;'002;'0263+0042;'0263+0042;'KKR SA;'1x25kV;'Kaitakorpi SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.362505;;'feeder_station;'2024-02-06T08:12Z;;'Länsi-Suomi;'Tampere;'4;;'1401 (Lielahti)–Kokemäki–(Pori);;;;;'230681.52079778368;'6817216.822344102;'21.954252862789648;'61.395091130560324;;'002;'002;'0309+0313;'0309+0313;'RSA SA;'1x25kV;'Ruskila SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.690194;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Helsinki;'1;;'1102 (Pasila)–(Riihimäki);;;;;'385071.660012234;'6720608.677823883;'24.900854648670823;'60.604841510356415;;'003;'003 IR PUR-RI;'0055+0012;'0055+0012;'PSU SA;'1x25kV;'PIKKUSUO SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.689879;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Helsinki;'1;;'1102 (Pasila)–(Riihimäki);;;;;'388205.2635520224;'6679374.269878793;'24.981118414579374;'60.235728774724606;;'003;'003 IsR HKI-KE;'0008+0465;'0008+0465;'OLK SA;'1x25kV;'OULUNKYLÄ SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.689887;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Helsinki;'1;;'1102 (Pasila)–(Riihimäki);;;;;'393504.7164094843;'6690434.602305216;'25.07091647129113;'60.33640265581664;;'003;'003 IsR HKI-KE;'0021+0030;'0021+0030;'MATARI SA;'1x25kV;'MATARI SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.689895;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Helsinki;'1;;'1102 (Pasila)–(Riihimäki);;;;;'395242.6952197134;'6695859.98809742;'25.09954579927182;'60.38554191817572;;'003;'003 IsR HKI-KE;'0026+0748;'0026+0748;'SAV SA;'1x25kV;'SAVIO SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.362498;;'feeder_station;'2024-02-06T11:14Z;;'Länsi-Suomi;'Tampere;'3;;'1302 (Tampere)–(Seinäjoki);;;;;'321962.26836929744;'6825173.689346418;'23.652458002750887;'61.51901884329162;;'003;'003 LLH-PLU;'0195+0238;'0195+0238;'LMP SA;'1x25kV;'Lamminpää SA;'Väylävirasto;;;;;;;
